===== ROUGE Scores (documents) =====
                                   rouge-1                               rouge-2                               rouge-l
96    {'r': 0.148, 'p': 0.036, 'f': 0.058}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.111, 'p': 0.027, 'f': 0.044}
97      {'r': 0.5, 'p': 0.129, 'f': 0.205}   {'r': 0.237, 'p': 0.04, 'f': 0.069}    {'r': 0.5, 'p': 0.129, 'f': 0.205}
98     {'r': 0.52, 'p': 0.144, 'f': 0.226}  {'r': 0.192, 'p': 0.037, 'f': 0.062}    {'r': 0.4, 'p': 0.111, 'f': 0.174}
99     {'r': 0.39, 'p': 0.118, 'f': 0.181}  {'r': 0.093, 'p': 0.021, 'f': 0.034}  {'r': 0.339, 'p': 0.103, 'f': 0.157}
100   {'r': 0.469, 'p': 0.101, 'f': 0.166}  {'r': 0.242, 'p': 0.035, 'f': 0.062}  {'r': 0.438, 'p': 0.094, 'f': 0.155}
101   {'r': 0.325, 'p': 0.083, 'f': 0.132}  {'r': 0.146, 'p': 0.022, 'f': 0.039}  {'r': 0.325, 'p': 0.083, 'f': 0.132}
102   {'r': 0.378, 'p': 0.096, 'f': 0.153}  {'r': 0.106, 'p': 0.016, 'f': 0.028}   {'r': 0.356, 'p': 0.09, 'f': 0.144}
103   {'r': 0.226, 'p': 0.106, 'f': 0.144}  {'r': 0.065, 'p': 0.022, 'f': 0.033}  {'r': 0.226, 'p': 0.106, 'f': 0.144}
104   {'r': 0.545, 'p': 0.158, 'f': 0.245}   {'r': 0.143, 'p': 0.03, 'f': 0.049}  {'r': 0.545, 'p': 0.158, 'f': 0.245}
105    {'r': 0.579, 'p': 0.07, 'f': 0.125}  {'r': 0.211, 'p': 0.017, 'f': 0.032}   {'r': 0.579, 'p': 0.07, 'f': 0.125}
106   {'r': 0.381, 'p': 0.133, 'f': 0.198}   {'r': 0.05, 'p': 0.016, 'f': 0.024}    {'r': 0.286, 'p': 0.1, 'f': 0.148}
107     {'r': 0.4, 'p': 0.205, 'f': 0.271}   {'r': 0.163, 'p': 0.062, 'f': 0.09}   {'r': 0.325, 'p': 0.167, 'f': 0.22}
108   {'r': 0.088, 'p': 0.022, 'f': 0.035}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.088, 'p': 0.022, 'f': 0.035}
109   {'r': 0.325, 'p': 0.101, 'f': 0.154}  {'r': 0.133, 'p': 0.032, 'f': 0.051}    {'r': 0.3, 'p': 0.093, 'f': 0.142}
110   {'r': 0.378, 'p': 0.075, 'f': 0.125}  {'r': 0.111, 'p': 0.012, 'f': 0.021}   {'r': 0.333, 'p': 0.066, 'f': 0.11}
111     {'r': 0.7, 'p': 0.084, 'f': 0.151}    {'r': 0.5, 'p': 0.033, 'f': 0.063}    {'r': 0.7, 'p': 0.084, 'f': 0.151}
112    {'r': 0.565, 'p': 0.144, 'f': 0.23}  {'r': 0.182, 'p': 0.032, 'f': 0.055}  {'r': 0.478, 'p': 0.122, 'f': 0.195}
113   {'r': 0.306, 'p': 0.087, 'f': 0.135}  {'r': 0.057, 'p': 0.011, 'f': 0.018}  {'r': 0.194, 'p': 0.055, 'f': 0.086}
114    {'r': 0.379, 'p': 0.071, 'f': 0.12}  {'r': 0.067, 'p': 0.008, 'f': 0.014}  {'r': 0.345, 'p': 0.065, 'f': 0.109}
115   {'r': 0.296, 'p': 0.044, 'f': 0.076}  {'r': 0.033, 'p': 0.004, 'f': 0.007}  {'r': 0.185, 'p': 0.027, 'f': 0.048}
116   {'r': 0.333, 'p': 0.085, 'f': 0.135}  {'r': 0.167, 'p': 0.031, 'f': 0.052}  {'r': 0.333, 'p': 0.085, 'f': 0.135}
117     {'r': 0.333, 'p': 0.143, 'f': 0.2}  {'r': 0.087, 'p': 0.029, 'f': 0.043}    {'r': 0.333, 'p': 0.143, 'f': 0.2}
118     {'r': 0.5, 'p': 0.272, 'f': 0.352}  {'r': 0.217, 'p': 0.094, 'f': 0.132}   {'r': 0.386, 'p': 0.21, 'f': 0.272}
119   {'r': 0.125, 'p': 0.057, 'f': 0.078}  {'r': 0.024, 'p': 0.008, 'f': 0.012}  {'r': 0.125, 'p': 0.057, 'f': 0.078}
120   {'r': 0.344, 'p': 0.077, 'f': 0.126}  {'r': 0.029, 'p': 0.005, 'f': 0.009}   {'r': 0.25, 'p': 0.056, 'f': 0.091}
121     {'r': 0.45, 'p': 0.17, 'f': 0.247}  {'r': 0.195, 'p': 0.054, 'f': 0.084}   {'r': 0.425, 'p': 0.16, 'f': 0.233}
122     {'r': 0.5, 'p': 0.146, 'f': 0.226}  {'r': 0.148, 'p': 0.029, 'f': 0.048}  {'r': 0.429, 'p': 0.125, 'f': 0.194}
123    {'r': 0.591, 'p': 0.135, 'f': 0.22}  {'r': 0.146, 'p': 0.022, 'f': 0.038}   {'r': 0.523, 'p': 0.12, 'f': 0.195}
124    {'r': 0.37, 'p': 0.112, 'f': 0.172}  {'r': 0.143, 'p': 0.034, 'f': 0.055}   {'r': 0.37, 'p': 0.112, 'f': 0.172}
125    {'r': 0.324, 'p': 0.204, 'f': 0.25}  {'r': 0.053, 'p': 0.029, 'f': 0.037}   {'r': 0.206, 'p': 0.13, 'f': 0.159}
126    {'r': 0.35, 'p': 0.095, 'f': 0.149}  {'r': 0.167, 'p': 0.033, 'f': 0.056}  {'r': 0.325, 'p': 0.088, 'f': 0.138}
127   {'r': 0.429, 'p': 0.048, 'f': 0.087}  {'r': 0.033, 'p': 0.002, 'f': 0.004}  {'r': 0.321, 'p': 0.036, 'f': 0.065}
128   {'r': 0.312, 'p': 0.061, 'f': 0.102}  {'r': 0.029, 'p': 0.004, 'f': 0.007}  {'r': 0.312, 'p': 0.061, 'f': 0.102}
129   {'r': 0.636, 'p': 0.121, 'f': 0.203}  {'r': 0.409, 'p': 0.051, 'f': 0.091}  {'r': 0.636, 'p': 0.121, 'f': 0.203}
130   {'r': 0.171, 'p': 0.125, 'f': 0.144}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.146, 'p': 0.107, 'f': 0.124}
131   {'r': 0.167, 'p': 0.074, 'f': 0.103}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.111, 'p': 0.049, 'f': 0.068}
132     {'r': 0.27, 'p': 0.078, 'f': 0.12}  {'r': 0.079, 'p': 0.017, 'f': 0.028}    {'r': 0.27, 'p': 0.078, 'f': 0.12}
133     {'r': 0.204, 'p': 0.2, 'f': 0.202}  {'r': 0.029, 'p': 0.027, 'f': 0.028}  {'r': 0.148, 'p': 0.145, 'f': 0.147}
134   {'r': 0.162, 'p': 0.107, 'f': 0.129}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.162, 'p': 0.107, 'f': 0.129}
135   {'r': 0.367, 'p': 0.129, 'f': 0.191}  {'r': 0.067, 'p': 0.018, 'f': 0.028}  {'r': 0.233, 'p': 0.082, 'f': 0.122}
136    {'r': 0.371, 'p': 0.086, 'f': 0.14}  {'r': 0.077, 'p': 0.012, 'f': 0.021}   {'r': 0.371, 'p': 0.086, 'f': 0.14}
137     {'r': 0.469, 'p': 0.1, 'f': 0.165}  {'r': 0.118, 'p': 0.015, 'f': 0.027}  {'r': 0.406, 'p': 0.087, 'f': 0.143}
138   {'r': 0.643, 'p': 0.182, 'f': 0.283}  {'r': 0.286, 'p': 0.061, 'f': 0.101}  {'r': 0.643, 'p': 0.182, 'f': 0.283}
139   {'r': 0.281, 'p': 0.084, 'f': 0.129}    {'r': 0.03, 'p': 0.006, 'f': 0.01}  {'r': 0.263, 'p': 0.079, 'f': 0.121}
140   {'r': 0.174, 'p': 0.098, 'f': 0.125}   {'r': 0.043, 'p': 0.023, 'f': 0.03}  {'r': 0.174, 'p': 0.098, 'f': 0.125}
141   {'r': 0.167, 'p': 0.078, 'f': 0.106}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.139, 'p': 0.065, 'f': 0.088}
142   {'r': 0.514, 'p': 0.071, 'f': 0.124}  {'r': 0.293, 'p': 0.026, 'f': 0.048}  {'r': 0.486, 'p': 0.067, 'f': 0.118}
143    {'r': 0.042, 'p': 0.013, 'f': 0.02}        {'r': 0.0, 'p': 0.0, 'f': 0.0}   {'r': 0.042, 'p': 0.013, 'f': 0.02}
144   {'r': 0.545, 'p': 0.148, 'f': 0.233}  {'r': 0.143, 'p': 0.026, 'f': 0.044}  {'r': 0.409, 'p': 0.111, 'f': 0.175}
145    {'r': 0.657, 'p': 0.14, 'f': 0.231}  {'r': 0.513, 'p': 0.087, 'f': 0.148}  {'r': 0.571, 'p': 0.122, 'f': 0.201}
146   {'r': 0.276, 'p': 0.099, 'f': 0.145}   {'r': 0.033, 'p': 0.01, 'f': 0.015}  {'r': 0.172, 'p': 0.062, 'f': 0.091}
147     {'r': 0.4, 'p': 0.055, 'f': 0.096}   {'r': 0.04, 'p': 0.003, 'f': 0.006}    {'r': 0.4, 'p': 0.055, 'f': 0.096}
148   {'r': 0.424, 'p': 0.143, 'f': 0.214}   {'r': 0.03, 'p': 0.008, 'f': 0.012}  {'r': 0.364, 'p': 0.122, 'f': 0.183}
149     {'r': 0.5, 'p': 0.111, 'f': 0.182}  {'r': 0.173, 'p': 0.026, 'f': 0.045}  {'r': 0.479, 'p': 0.106, 'f': 0.174}
150   {'r': 0.438, 'p': 0.079, 'f': 0.133}  {'r': 0.056, 'p': 0.007, 'f': 0.012}  {'r': 0.344, 'p': 0.062, 'f': 0.105}
151   {'r': 0.478, 'p': 0.061, 'f': 0.108}   {'r': 0.12, 'p': 0.008, 'f': 0.016}   {'r': 0.391, 'p': 0.05, 'f': 0.088}
152    {'r': 0.387, 'p': 0.078, 'f': 0.13}   {'r': 0.065, 'p': 0.01, 'f': 0.018}  {'r': 0.323, 'p': 0.065, 'f': 0.109}
153     {'r': 0.5, 'p': 0.049, 'f': 0.089}   {'r': 0.167, 'p': 0.01, 'f': 0.019}  {'r': 0.444, 'p': 0.043, 'f': 0.079}
154   {'r': 0.298, 'p': 0.097, 'f': 0.147}   {'r': 0.076, 'p': 0.02, 'f': 0.031}  {'r': 0.281, 'p': 0.091, 'f': 0.138}
155   {'r': 0.647, 'p': 0.094, 'f': 0.164}  {'r': 0.286, 'p': 0.022, 'f': 0.042}   {'r': 0.618, 'p': 0.09, 'f': 0.157}
156   {'r': 0.286, 'p': 0.113, 'f': 0.162}   {'r': 0.071, 'p': 0.02, 'f': 0.031}  {'r': 0.286, 'p': 0.113, 'f': 0.162}
157   {'r': 0.281, 'p': 0.069, 'f': 0.111}   {'r': 0.03, 'p': 0.005, 'f': 0.008}   {'r': 0.25, 'p': 0.062, 'f': 0.099}
