===== ROUGE Scores (documents) =====
                                   rouge-1                               rouge-2                               rouge-l
59    {'r': 0.839, 'p': 0.222, 'f': 0.351}   {'r': 0.531, 'p': 0.101, 'f': 0.17}  {'r': 0.774, 'p': 0.205, 'f': 0.324}
60    {'r': 0.956, 'p': 0.355, 'f': 0.518}   {'r': 0.935, 'p': 0.262, 'f': 0.41}  {'r': 0.956, 'p': 0.355, 'f': 0.518}
61    {'r': 0.452, 'p': 0.104, 'f': 0.169}   {'r': 0.13, 'p': 0.021, 'f': 0.036}  {'r': 0.405, 'p': 0.093, 'f': 0.151}
62    {'r': 0.378, 'p': 0.203, 'f': 0.264}  {'r': 0.162, 'p': 0.075, 'f': 0.103}  {'r': 0.351, 'p': 0.188, 'f': 0.245}
63     {'r': 0.69, 'p': 0.172, 'f': 0.276}  {'r': 0.345, 'p': 0.065, 'f': 0.109}   {'r': 0.69, 'p': 0.172, 'f': 0.276}
64    {'r': 0.733, 'p': 0.113, 'f': 0.195}  {'r': 0.422, 'p': 0.035, 'f': 0.065}  {'r': 0.711, 'p': 0.109, 'f': 0.189}
65    {'r': 0.729, 'p': 0.111, 'f': 0.193}  {'r': 0.321, 'p': 0.031, 'f': 0.056}  {'r': 0.646, 'p': 0.098, 'f': 0.171}
66    {'r': 0.839, 'p': 0.141, 'f': 0.242}    {'r': 0.3, 'p': 0.032, 'f': 0.058}  {'r': 0.677, 'p': 0.114, 'f': 0.195}
67    {'r': 0.629, 'p': 0.118, 'f': 0.199}     {'r': 0.2, 'p': 0.028, 'f': 0.05}   {'r': 0.371, 'p': 0.07, 'f': 0.118}
68     {'r': 0.64, 'p': 0.089, 'f': 0.156}   {'r': 0.333, 'p': 0.03, 'f': 0.055}    {'r': 0.6, 'p': 0.083, 'f': 0.146}
69       {'r': 0.5, 'p': 0.258, 'f': 0.34}   {'r': 0.265, 'p': 0.11, 'f': 0.155}   {'r': 0.382, 'p': 0.197, 'f': 0.26}
70    {'r': 0.387, 'p': 0.047, 'f': 0.084}  {'r': 0.097, 'p': 0.007, 'f': 0.014}  {'r': 0.387, 'p': 0.047, 'f': 0.084}
71    {'r': 0.829, 'p': 0.143, 'f': 0.244}    {'r': 0.5, 'p': 0.059, 'f': 0.106}  {'r': 0.829, 'p': 0.143, 'f': 0.244}
72    {'r': 0.929, 'p': 0.163, 'f': 0.277}  {'r': 0.837, 'p': 0.093, 'f': 0.167}  {'r': 0.929, 'p': 0.163, 'f': 0.277}
73    {'r': 0.542, 'p': 0.224, 'f': 0.317}  {'r': 0.174, 'p': 0.049, 'f': 0.077}  {'r': 0.417, 'p': 0.172, 'f': 0.244}
74    {'r': 0.543, 'p': 0.096, 'f': 0.163}  {'r': 0.222, 'p': 0.023, 'f': 0.042}  {'r': 0.486, 'p': 0.086, 'f': 0.146}
75    {'r': 0.667, 'p': 0.106, 'f': 0.183}  {'r': 0.355, 'p': 0.035, 'f': 0.065}  {'r': 0.633, 'p': 0.101, 'f': 0.174}
76    {'r': 0.516, 'p': 0.047, 'f': 0.086}  {'r': 0.065, 'p': 0.004, 'f': 0.007}   {'r': 0.484, 'p': 0.044, 'f': 0.08}
77    {'r': 0.652, 'p': 0.157, 'f': 0.253}   {'r': 0.275, 'p': 0.047, 'f': 0.08}  {'r': 0.587, 'p': 0.141, 'f': 0.228}
78    {'r': 0.815, 'p': 0.157, 'f': 0.263}  {'r': 0.423, 'p': 0.055, 'f': 0.098}   {'r': 0.741, 'p': 0.143, 'f': 0.24}
79    {'r': 0.649, 'p': 0.197, 'f': 0.302}  {'r': 0.256, 'p': 0.056, 'f': 0.093}  {'r': 0.486, 'p': 0.148, 'f': 0.226}
80    {'r': 0.789, 'p': 0.169, 'f': 0.279}    {'r': 0.429, 'p': 0.057, 'f': 0.1}  {'r': 0.789, 'p': 0.169, 'f': 0.279}
81     {'r': 0.816, 'p': 0.207, 'f': 0.33}  {'r': 0.395, 'p': 0.069, 'f': 0.118}  {'r': 0.763, 'p': 0.193, 'f': 0.309}
82     {'r': 0.804, 'p': 0.19, 'f': 0.307}  {'r': 0.444, 'p': 0.068, 'f': 0.118}  {'r': 0.765, 'p': 0.181, 'f': 0.292}
83     {'r': 0.321, 'p': 0.09, 'f': 0.141}  {'r': 0.074, 'p': 0.015, 'f': 0.025}   {'r': 0.286, 'p': 0.08, 'f': 0.125}
84    {'r': 0.854, 'p': 0.145, 'f': 0.248}  {'r': 0.828, 'p': 0.088, 'f': 0.159}  {'r': 0.854, 'p': 0.145, 'f': 0.248}
85    {'r': 0.577, 'p': 0.132, 'f': 0.214}   {'r': 0.192, 'p': 0.03, 'f': 0.052}    {'r': 0.538, 'p': 0.123, 'f': 0.2}
86    {'r': 0.591, 'p': 0.072, 'f': 0.128}   {'r': 0.071, 'p': 0.006, 'f': 0.01}  {'r': 0.477, 'p': 0.058, 'f': 0.103}
87    {'r': 0.619, 'p': 0.114, 'f': 0.193}  {'r': 0.333, 'p': 0.048, 'f': 0.084}  {'r': 0.571, 'p': 0.105, 'f': 0.178}
88    {'r': 0.793, 'p': 0.119, 'f': 0.207}    {'r': 0.5, 'p': 0.051, 'f': 0.093}  {'r': 0.655, 'p': 0.098, 'f': 0.171}
89     {'r': 0.63, 'p': 0.092, 'f': 0.161}  {'r': 0.333, 'p': 0.032, 'f': 0.059}  {'r': 0.481, 'p': 0.071, 'f': 0.123}
90      {'r': 0.6, 'p': 0.137, 'f': 0.223}  {'r': 0.229, 'p': 0.037, 'f': 0.064}  {'r': 0.543, 'p': 0.124, 'f': 0.202}
91    {'r': 0.226, 'p': 0.156, 'f': 0.184}   {'r': 0.059, 'p': 0.04, 'f': 0.048}  {'r': 0.161, 'p': 0.111, 'f': 0.132}
92    {'r': 0.867, 'p': 0.133, 'f': 0.231}   {'r': 0.75, 'p': 0.082, 'f': 0.147}    {'r': 0.7, 'p': 0.108, 'f': 0.187}
93    {'r': 0.846, 'p': 0.146, 'f': 0.249}  {'r': 0.655, 'p': 0.082, 'f': 0.146}  {'r': 0.808, 'p': 0.139, 'f': 0.237}
94      {'r': 0.5, 'p': 0.097, 'f': 0.163}    {'r': 0.1, 'p': 0.015, 'f': 0.025}     {'r': 0.4, 'p': 0.078, 'f': 0.13}
95    {'r': 0.795, 'p': 0.159, 'f': 0.265}  {'r': 0.581, 'p': 0.064, 'f': 0.115}  {'r': 0.769, 'p': 0.154, 'f': 0.256}
96    {'r': 0.333, 'p': 0.065, 'f': 0.109}  {'r': 0.077, 'p': 0.011, 'f': 0.019}  {'r': 0.222, 'p': 0.043, 'f': 0.073}
97    {'r': 0.611, 'p': 0.133, 'f': 0.219}  {'r': 0.342, 'p': 0.049, 'f': 0.086}  {'r': 0.556, 'p': 0.121, 'f': 0.199}
98      {'r': 0.52, 'p': 0.13, 'f': 0.208}  {'r': 0.192, 'p': 0.033, 'f': 0.056}       {'r': 0.4, 'p': 0.1, 'f': 0.16}
99    {'r': 0.576, 'p': 0.148, 'f': 0.236}  {'r': 0.213, 'p': 0.039, 'f': 0.066}  {'r': 0.525, 'p': 0.135, 'f': 0.215}
100   {'r': 0.906, 'p': 0.149, 'f': 0.256}  {'r': 0.727, 'p': 0.082, 'f': 0.147}  {'r': 0.844, 'p': 0.138, 'f': 0.238}
101     {'r': 0.7, 'p': 0.133, 'f': 0.223}   {'r': 0.39, 'p': 0.048, 'f': 0.085}  {'r': 0.625, 'p': 0.118, 'f': 0.199}
102   {'r': 0.756, 'p': 0.149, 'f': 0.249}  {'r': 0.489, 'p': 0.061, 'f': 0.108}   {'r': 0.711, 'p': 0.14, 'f': 0.234}
103   {'r': 0.323, 'p': 0.116, 'f': 0.171}   {'r': 0.161, 'p': 0.045, 'f': 0.07}  {'r': 0.323, 'p': 0.116, 'f': 0.171}
104   {'r': 0.727, 'p': 0.168, 'f': 0.274}  {'r': 0.286, 'p': 0.049, 'f': 0.083}  {'r': 0.727, 'p': 0.168, 'f': 0.274}
105   {'r': 0.895, 'p': 0.089, 'f': 0.161}  {'r': 0.684, 'p': 0.047, 'f': 0.089}  {'r': 0.895, 'p': 0.089, 'f': 0.161}
106   {'r': 0.524, 'p': 0.143, 'f': 0.224}   {'r': 0.15, 'p': 0.035, 'f': 0.057}  {'r': 0.429, 'p': 0.117, 'f': 0.184}
107     {'r': 0.5, 'p': 0.202, 'f': 0.288}  {'r': 0.209, 'p': 0.065, 'f': 0.099}   {'r': 0.35, 'p': 0.141, 'f': 0.201}
108    {'r': 0.176, 'p': 0.036, 'f': 0.06}        {'r': 0.0, 'p': 0.0, 'f': 0.0}   {'r': 0.176, 'p': 0.036, 'f': 0.06}
109   {'r': 0.575, 'p': 0.146, 'f': 0.232}  {'r': 0.244, 'p': 0.047, 'f': 0.078}    {'r': 0.4, 'p': 0.101, 'f': 0.162}
110   {'r': 0.867, 'p': 0.148, 'f': 0.253}  {'r': 0.667, 'p': 0.057, 'f': 0.106}  {'r': 0.778, 'p': 0.133, 'f': 0.227}
111     {'r': 0.967, 'p': 0.1, 'f': 0.182}  {'r': 0.969, 'p': 0.055, 'f': 0.105}    {'r': 0.967, 'p': 0.1, 'f': 0.182}
112   {'r': 0.826, 'p': 0.188, 'f': 0.306}  {'r': 0.545, 'p': 0.082, 'f': 0.143}  {'r': 0.739, 'p': 0.168, 'f': 0.274}
113   {'r': 0.583, 'p': 0.129, 'f': 0.211}  {'r': 0.171, 'p': 0.026, 'f': 0.045}  {'r': 0.417, 'p': 0.092, 'f': 0.151}
114   {'r': 0.552, 'p': 0.092, 'f': 0.158}  {'r': 0.133, 'p': 0.014, 'f': 0.025}  {'r': 0.414, 'p': 0.069, 'f': 0.118}
115   {'r': 0.481, 'p': 0.058, 'f': 0.104}  {'r': 0.133, 'p': 0.012, 'f': 0.022}  {'r': 0.407, 'p': 0.049, 'f': 0.088}
116    {'r': 0.727, 'p': 0.151, 'f': 0.25}  {'r': 0.444, 'p': 0.066, 'f': 0.115}   {'r': 0.727, 'p': 0.151, 'f': 0.25}
117   {'r': 0.792, 'p': 0.275, 'f': 0.409}    {'r': 0.522, 'p': 0.14, 'f': 0.22}  {'r': 0.792, 'p': 0.275, 'f': 0.409}
